1차 번역,계정과목,계정코드,공시용계정,관리계정,구분,분류,합산계정,회사계정, 기초 
보통예금(원화),보통예금(원화),1110202,현금및현금성자산,현금및현금성자산,BS,자산,유동자산,보통예금(원화)," 12,991,710,234 "
보통예금(외화),보통예금(외화),1110204,현금및현금성자산,현금및현금성자산,BS,자산,유동자산,보통예금(외화)," 11,535,328 "
단기금융상품(정기예금),단기금융상품(정기예금),1110302,단기금융상품,단기금융상품,BS,자산,유동자산,단기금융상품(정기예금)," 22,000,000,000 "
단기금융상품(기타상품),단기금융상품(기타상품),1110306,단기금융상품,단기금융상품,BS,자산,유동자산,단기금융상품(기타상품)," 13,488,939,587 "
당기손익인식금융자산,당기손익인식금융자산,1110402,FVPL 금융자산,당기손익인식금융자산,BS,자산,유동자산,당기손익인식금융자산," 13,063,430,595 "
외상매출금(원화),외상매출금(원화),1120102,매출채권,매출채권,BS,자산,유동자산,외상매출금(원화)," 8,814,903,364 "
외상매출금(외화),외상매출금(외화),1120104,매출채권,매출채권,BS,자산,유동자산,외상매출금(외화)," 7,452,222,822 "
외상매출금대손충당금,외상매출금대손충당금,1120106,매출채권,매출채권,BS,자산,유동자산,외상매출금대손충당금," (221,152,552)"
받을어음(원화),받을어음(원화),1120202,매출채권,매출채권,BS,자산,유동자산,받을어음(원화)," 2,740,201,156 "
단기대여금(직원),단기대여금(직원),1130104,기타유동금융자산,단기대여금,BS,자산,유동자산,단기대여금(직원)," 450,000,000 "
미수금(거래처원화),미수금(거래처원화),1130202,기타유동금융자산,미수금,BS,자산,유동자산,미수금(거래처원화)," 99,920 "
미수금(직원),미수금(직원),1130206,기타유동금융자산,미수금,BS,자산,유동자산,미수금(직원), -   
미수수익(금융기관),미수수익(금융기관),1130302,기타유동금융자산,미수수익,BS,자산,유동자산,미수수익(금융기관)," 222,996,781 "
제품,제품,1140200,재고자산,제품,BS,자산,유동자산,제품," 10,625,932,260 "
제품 재고자산평가충당금,제품 재고자산평가충당금,1140204,재고자산,제품 재고자산평가충당금,BS,자산,유동자산,제품 재고자산평가충당금," (641,806,952)"
재공품,재공품,1140300,재고자산,재공품,BS,자산,유동자산,재공품, -   
원재료,원재료,1140400,재고자산,원재료,BS,자산,유동자산,원재료," 2,263,335,446 "
원재료 재고자산평가충당금,원재료 재고자산평가충당금,1140404,재고자산,원재료 재고자산평가충당금,BS,자산,유동자산,원재료 재고자산평가충당금," (10,729,325)"
선급금(거래처원화),선급금(거래처원화),1160102,기타유동자산,선급금,BS,자산,유동자산,선급금(거래처원화)," 27,174,566 "
선급금(거래처외화),선급금(거래처외화),1160104,기타유동자산,선급금,BS,자산,유동자산,선급금(거래처외화)," 164,844 "
선급금(직원),선급금(직원),1160106,기타유동자산,선급금,BS,자산,유동자산,선급금(직원), -   
선급비용(거래처원화),선급비용(거래처원화),1160202,기타유동자산,선급금,BS,자산,유동자산,선급비용(거래처원화)," 84,015,741 "
부가세대급금,부가세대급금,1160300,기타유동자산,부가세대급금,BS,자산,유동자산,부가세대급금, -   
선납세금(금융기관),선납세금(금융기관),1160402,기타유동자산,선납세금,BS,자산,유동자산,선납세금(금융기관), -   
